18 November 2017;18600
19 November 2017;18600
20 November 2017;18400
21 November 2017;17400
22 November 2017;16400
23 November 2017;16500
24 November 2017;17800
25 November 2017;16900
26 November 2017;16900
27 November 2017;16500
28 November 2017;16300
29 November 2017;16600
30 November 2017;16200
01 Desember 2017;16400
02 Desember 2017;16400
03 Desember 2017;16200
04 Desember 2017;16200
05 Desember 2017;16600
06 Desember 2017;16400
07 Desember 2017;15800
08 Desember 2017;16400
09 Desember 2017;16200
10 Desember 2017;16200
11 Desember 2017;16800
12 Desember 2017;17200
13 Desember 2017;16600
14 Desember 2017;16400
15 Desember 2017;16600
16 Desember 2017;16600
17 Desember 2017;16600
18 Desember 2017;20600
19 Desember 2017;28000
20 Desember 2017;37100
21 Desember 2017;35600
22 Desember 2017;39000
23 Desember 2017;39200
24 Desember 2017;40000
25 Desember 2017;41200
26 Desember 2017;40800
27 Desember 2017;43000
28 Desember 2017;43800
29 Desember 2017;47600
30 Desember 2017;43800
31 Desember 2017;43800
01 Januari 2018;43800
02 Januari 2018;47000
03 Januari 2018;46400
04 Januari 2018;46000
05 Januari 2018;40200
06 Januari 2018;42600
07 Januari 2018;42200
08 Januari 2018;42200
09 Januari 2018;40600
10 Januari 2018;40200
11 Januari 2018;43000
12 Januari 2018;42200
13 Januari 2018;41800
14 Januari 2018;41800
15 Januari 2018;42000
16 Januari 2018;42200
17 Januari 2018;38600
18 Januari 2018;37400
19 Januari 2018;35000
20 Januari 2018;35000
21 Januari 2018;35000
22 Januari 2018;36000
23 Januari 2018;34800
24 Januari 2018;32200
25 Januari 2018;30800
26 Januari 2018;30000
27 Januari 2018;29800
28 Januari 2018;30400
29 Januari 2018;28200
30 Januari 2018;28600
31 Januari 2018;28800
01 Februari 2018;28800
02 Februari 2018;28800
03 Februari 2018;29400
04 Februari 2018;28800
05 Februari 2018;31800
06 Februari 2018;32000
07 Februari 2018;34800
08 Februari 2018;34300
09 Februari 2018;33200
10 Februari 2018;33600
11 Februari 2018;33600
12 Februari 2018;37800
13 Februari 2018;39600
14 Februari 2018;43400
15 Februari 2018;42200
16 Februari 2018;43800
17 Februari 2018;43800
18 Februari 2018;43800
19 Februari 2018;43800
20 Februari 2018;47600
21 Februari 2018;49600
22 Februari 2018;49200
23 Februari 2018;47200
24 Februari 2018;48400
25 Februari 2018;48400
26 Februari 2018;48800
27 Februari 2018;48200
28 Februari 2018;49200
01 Maret 2018;48800
02 Maret 2018;48800
03 Maret 2018;49200
04 Maret 2018;49200
05 Maret 2018;61000
06 Maret 2018;61000
07 Maret 2018;58800
08 Maret 2018;59600
09 Maret 2018;60200
10 Maret 2018;59600
11 Maret 2018;59600
12 Maret 2018;63000
13 Maret 2018;63400
14 Maret 2018;59000
15 Maret 2018;56000
16 Maret 2018;53600
17 Maret 2018;52600
18 Maret 2018;52600
19 Maret 2018;48000
20 Maret 2018;48000
21 Maret 2018;46400
22 Maret 2018;44800
23 Maret 2018;44600
24 Maret 2018;45400
25 Maret 2018;45400
26 Maret 2018;39600
27 Maret 2018;39600
28 Maret 2018;40400
29 Maret 2018;40400
30 Maret 2018;39200
31 Maret 2018;39200
01 April 2018;38800
02 April 2018;37600
03 April 2018;39200
04 April 2018;35800
05 April 2018;36000
06 April 2018;38000
07 April 2018;37600
08 April 2018;39200
09 April 2018;37200
10 April 2018;36200
11 April 2018;35600
12 April 2018;34600
13 April 2018;34200
14 April 2018;35000
15 April 2018;34600
16 April 2018;31800
17 April 2018;31800
18 April 2018;32000
19 April 2018;30200
20 April 2018;28400
21 April 2018;28800
22 April 2018;28800
23 April 2018;28200
24 April 2018;31000
25 April 2018;31400
26 April 2018;30000
27 April 2018;29600
28 April 2018;28800
29 April 2018;29600
30 April 2018;27800
